NPA,2011,2014,2015,2016,2017,2018,2019,2021,2022,2023,2011 Raw,2014 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2021 Raw,2022 Raw,2023 Raw
354,"48.9%","49.9%","49.9%","49.9%","49.9%","45.2%","49.9%","49.9%","49.9%","50%","495","505","505","505","505","457","505","505","505","506"
355,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
356,"53.5%","58.5%","58.5%","58.2%","58.7%","74.3%","56.9%","56.1%","56.1%","56.1%","1,004","1,102","1,102","1,102","1,113","1,431","1,161","1,161","1,161","1,163"
357,"36.4%","48.8%","50.4%","50.4%","50.2%","50.1%","42.8%","40.8%","41.3%","41.1%","510","684","726","725","726","728","546","503","511","507"
358,"57.2%","57.8%","57.8%","77.9%","36.5%","44.3%","39.2%","36.9%","36.8%","37.1%","856","866","866","1,297","512","863","1,072","1,004","998","1,009"
359,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
360,"14.7%","18%","17.6%","17.5%","19.6%","14%","14.4%","15.5%","13.1%","23.8%","211","263","263","263","295","215","260","297","272","588"
361,"45.4%","38.6%","38.6%","29%","22.8%","32.4%","13.2%","11.3%","11.1%","9.9%","207","174","174","173","172","279","209","211","210","209"
362,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
363,"34.6%","38.2%","38.2%","38.3%","38.2%","41.8%","43.2%","42.9%","53.3%","0%","388","462","461","461","458","510","497","495","626","0"
364,"53.7%","56%","55.9%","55.7%","54.3%","52.9%","55.3%","55.4%","55.1%","54.7%","601","628","639","640","628","624","583","584","581","577"
365,"52.5%","87.2%","87.2%","87.2%","87.1%","89.6%","86.7%","86.8%","78.3%","86.7%","341","719","720","720","717","734","707","708","640","707"
366,"29.2%","7%","6.8%","5%","5%","3.9%","1%","1%","1%","1%","170","31","31","22","22","17","4","4","4","4"
367,"17.9%","41.8%","41.5%","36.5%","36.4%","21.6%","19.5%","19.5%","0.9%","17.9%","456","1,143","1,130","1,130","1,126","675","676","675","30","651"
368,"49.1%","82.5%","82.5%","85.1%","85.1%","88.2%","76.1%","78.6%","78.6%","78.6%","581","977","977","1,007","1,007","1,044","899","928","928","928"
369,"89.6%","38.3%","33%","32.5%","30.4%","27.4%","30%","30%","74.1%","0%","472","195","155","151","137","123","133","133","764","0"
370,"0%","58.6%","58.6%","58.6%","58.4%","56.4%","53.6%","53.3%","53.1%","56.7%","0","724","713","714","712","698","650","650","649","770"
371,"14.9%","5.4%","5.3%","5.3%","15.8%","23.4%","13.9%","15%","14.9%","11.5%","337","121","120","120","356","528","311","337","428","353"
372,"21.3%","21.5%","21.6%","21.8%","10%","8.8%","24.5%","9.5%","31.3%","27.4%","902","941","948","964","444","393","1,093","444","1,363","1,353"
373,"20.7%","28.6%","28.7%","28.6%","28.2%","22.9%","22%","27.7%","27.5%","22.2%","230","317","318","318","313","258","247","313","310","249"
374,"64.4%","49.2%","49.4%","49.5%","49.6%","66.3%","51.1%","51.3%","51.5%","51.8%","739","559","562","563","564","756","537","541","543","553"
375,"41.2%","32.3%","32.4%","32.4%","32.5%","39.3%","31.1%","31.4%","31.3%","2.2%","354","279","280","281","282","367","279","280","276","19"
376,"21.6%","21%","20.7%","23.8%","23.7%","24.7%","23.4%","11.4%","11.4%","11.2%","309","304","302","361","359","374","353","173","172","172"
377,"3.6%","0.2%","0.1%","0.1%","0.1%","3.6%","0.1%","0.1%","0.1%","0%","70","3","3","3","3","74","3","3","3","0"
378,"39.7%","39.4%","40.2%","40.9%","39.7%","47.3%","54.1%","54.9%","13.4%","64.1%","835","833","863","886","860","1,130","1,591","1,635","405","1,944"
379,"15%","9.4%","10%","10.2%","11.6%","17.8%","14.1%","7%","14%","14%","195","123","132","135","156","242","192","96","191","192"
380,"5.3%","7.4%","7.4%","7.4%","7.4%","4.8%","7.3%","7.2%","7.2%","7.2%","97","135","135","135","135","89","134","134","133","134"
381,"29.1%","34.8%","40.6%","50%","79.3%","72.6%","81.4%","83%","83%","81.3%","510","607","709","1,036","1,601","1,436","2,437","2,483","2,488","2,435"
382,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
383,"24.4%","31.1%","31.1%","31.1%","31.1%","51.7%","59.6%","33.1%","60.3%","60.4%","390","495","495","495","495","823","959","543","988","991"
385,"3.4%","1.3%","1.4%","1.3%","1.3%","3.5%","1.2%","1.3%","1.4%","1.4%","68","27","27","26","26","69","24","25","28","28"
386,"26%","24.3%","24.4%","24.3%","23.9%","23.9%","18.4%","18.2%","20.4%","17.9%","220","206","206","204","198","208","211","216","254","281"
387,"29.2%","45.1%","45.2%","45.1%","45.3%","28.6%","45%","32.4%","26.4%","61.5%","278","427","427","425","426","267","395","285","284","776"
388,"0%","0%","20%","20.9%","14.2%","35%","22.2%","21.1%","20%","20.3%","0","0","195","206","206","515","345","325","337","439"
389,"16.1%","12.9%","12.9%","12.9%","33%","29.8%","36.2%","36.2%","0%","14.6%","534","460","460","460","1,176","1,098","1,187","1,188","0","484"
390,"17.2%","0%","0%","0%","0%","0%","0%","0%","0%","0%","136","0","0","0","0","0","0","0","0","0"
