NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
82,"2","3","10","1","2","6","2","20","23","86","11","25","68","27"
83,"1","0","4","0","0","0","0","3","0","11","0","0","0","0"
84,"1","0","2","2","2","0","0","4","0","6","5","4","1","3"
85,"71","47","53","29","27","58","44","559","362","408","226","200","439","334"
86,"4","1","10","1","1","3","1","45","9","115","13","13","59","27"
87,"10","6","9","9","9","18","20","69","43","62","62","61","128","143"
88,"57","32","39","55","34","29","28","272","150","185","256","163","157","171"
89,"55","35","31","15","11","20","17","303","190","173","80","58","109","93"
90,"13","7","13","8","7","8","15","105","54","108","70","58","68","123"
91,"30","31","24","16","8","16","15","254","257","203","136","71","131","126"
92,"0","1","5","0","2","3","3","4","8","63","3","30","51","55"
93,"0","0","2","0","1","2","2","0","2","12","3","8","11","24"
94,"77","32","29","94","47","54","38","292","122","111","354","179","293","210"
95,"9","6","19","10","5","9","10","62","39","127","67","33","61","65"
96,"18","4","14","6","3","10","4","216","68","244","112","71","213","100"
97,"19","2","2","2","2","6","7","291","28","37","35","29","104","121"
98,"11","4","5","5","23","20","14","100","39","43","44","284","284","208"
99,"20","15","20","17","14","34","33","128","99","128","108","87","220","218"
100,"36","9","23","18","11","34","24","251","60","164","123","74","238","168"
101,"5","2","4","2","3","3","7","39","12","30","14","21","22","49"
102,"64","15","12","15","7","26","21","335","76","65","81","38","140","111"
103,"24","13","14","13","9","23","33","116","62","67","62","70","188","294"
105,"13","2","9","5","2","4","1","58","8","54","39","16","37","13"
106,"9","7","19","7","4","26","28","68","50","141","49","30","192","204"
107,"2","0","1","1","1","2","4","20","4","10","5","7","11","27"
108,"8","4","9","--","--","2","8","46","20","50","0","0","14","46"
109,"1","0","4","0","0","2","2","6","3","34","0","0","29","22"
110,"2","2","4","1","2","4","7","14","17","32","9","12","56","101"
111,"7","4","12","6","3","5","4","61","42","134","68","56","94","90"
112,"1","1","2","1","0","1","7","7","7","10","5","2","8","52"
113,"13","9","12","9","19","8","9","173","130","176","135","302","140","173"
114,"20","13","28","42","22","21","36","111","54","117","187","100","97","167"
115,"3","1","2","0","1","5","3","40","24","34","3","27","91","57"
116,"19","5","6","--","--","14","10","213","61","77","0","0","335","315"
117,"22","12","14","8","13","7","9","301","167","204","123","228","142","177"
118,"2","2","2","--","--","2","0","10","8","9","0","0","10","2"
119,"24","18","20","10","10","13","16","113","82","95","46","53","116","143"
120,"20","12","26","23","24","16","46","119","73","158","134","137","97","287"
121,"29","34","37","43","25","36","28","242","277","307","355","228","421","332"
122,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
123,"9","10","8","6","12","14","13","98","108","84","69","127","155","139"
124,"32","12","30","11","27","23","20","284","105","271","95","233","240","242"
125,"23","12","16","13","12","20","26","239","127","175","135","154","291","403"
126,"24","2","4","1","2","3","7","10","4","9","3","10","19","51"
127,"14","6","9","7","6","7","9","142","61","89","73","66","74","103"
128,"23","15","21","30","11","29","32","242","159","217","311","114","298","319"
129,"2","1","7","1","2","15","4","14","5","57","6","16","134","32"
130,"0","0","2","0","0","--","0","1","0","12","1","0","0","0"
131,"23","3","5","4","7","4","7","161","21","37","35","59","30","58"
132,"34","11","33","19","15","17","31","95","30","93","53","39","47","89"
133,"3","1","1","2","1","4","4","17","6","9","11","5","22","30"
134,"28","14","8","18","11","15","26","126","64","38","80","52","71","124"
135,"2","1","2","0","2","2","5","9","3","12","2","13","13","38"
136,"3","6","5","2","2","3","10","21","47","40","18","17","29","92"
137,"26","14","14","17","40","29","16","144","78","79","91","218","158","88"
138,"41","36","47","37","20","41","90","104","91","118","92","51","124","272"
139,"44","17","16","16","20","36","39","247","115","103","107","109","201","223"
140,"30","8","17","12","13","17","14","301","87","178","130","148","210","184"
141,"29","32","21","13","32","70","73","105","111","73","43","102","228","238"
